27/08/15, AM : 5:00-11:59,(Heavy Traffic=25, Other=10, Problem Run=2), PM : 12:00-19:00,(Heavy Traffic=1, Other=1)
03/09/15, AM : 5:00-11:59,(Heavy Traffic=489, Other=92, Mechanical Problem=35), PM : 12:00-19:00,(Delayed by School=28, Heavy Traffic=19, Other=17)
10/09/15, AM : 5:00-11:59,(Heavy Traffic=928, Other=141, Weather Conditions=54), PM : 12:00-19:00,(Heavy Traffic=83, Other=37, Mechanical Problem=18)
17/09/15, AM : 5:00-11:59,(Heavy Traffic=895, Other=140, Problem Run=60), PM : 12:00-19:00,(Heavy Traffic=68, Other=55, Delayed by School=17)
24/09/15, AM : 5:00-11:59,(Heavy Traffic=819, Other=189, Problem Run=61), PM : 12:00-19:00,(Heavy Traffic=52, Other=25, Delayed by School=7)
01/10/15, AM : 5:00-11:59,(Heavy Traffic=847, Other=219, Problem Run=81), PM : 12:00-19:00,(Heavy Traffic=77, Other=46, Delayed by School=19)
08/10/15, AM : 5:00-11:59,(Heavy Traffic=866, Other=207, Problem Run=59), PM : 12:00-19:00,(Heavy Traffic=74, Other=43, Late return from Field Trip=31)
15/10/15, AM : 5:00-11:59,(Heavy Traffic=1002, Other=340, Problem Run=57), PM : 12:00-19:00,(Heavy Traffic=80, Other=28, Late return from Field Trip=18)
22/10/15, AM : 5:00-11:59,(Heavy Traffic=1151, Other=319, Mechanical Problem=60), PM : 12:00-19:00,(Heavy Traffic=126, Late return from Field Trip=74, Other=68)
29/10/15, AM : 5:00-11:59,(Heavy Traffic=750, Other=215, Mechanical Problem=52), PM : 12:00-19:00,(Heavy Traffic=67, Other=29, Late return from Field Trip=16)
05/11/15, AM : 5:00-11:59,(Heavy Traffic=716, Other=182, Mechanical Problem=36), PM : 12:00-19:00,(Heavy Traffic=57, Other=52, Late return from Field Trip=19)
12/11/15, AM : 5:00-11:59,(Heavy Traffic=931, Other=264, Mechanical Problem=53), PM : 12:00-19:00,(Heavy Traffic=98, Other=73, Late return from Field Trip=28)
19/11/15, AM : 5:00-11:59,(Heavy Traffic=839, Other=192, Mechanical Problem=58), PM : 12:00-19:00,(Heavy Traffic=121, Other=70, Late return from Field Trip=32)
26/11/15, AM : 5:00-11:59,(Heavy Traffic=675, Other=145, Weather Conditions=80), PM : 12:00-19:00,(Heavy Traffic=82, Other=42, Late return from Field Trip=25)
03/12/15, AM : 5:00-11:59,(Heavy Traffic=839, Other=213, Mechanical Problem=43), PM : 12:00-19:00,(Heavy Traffic=120, Other=39, Late return from Field Trip=29)
10/12/15, AM : 5:00-11:59,(Heavy Traffic=787, Other=189, Mechanical Problem=32), PM : 12:00-19:00,(Heavy Traffic=113, Late return from Field Trip=38, Other=32)
17/12/15, AM : 5:00-11:59,(Heavy Traffic=596, Other=169, Mechanical Problem=41), PM : 12:00-19:00,(Heavy Traffic=117, Late return from Field Trip=59, Other=56)
24/12/15, AM : 5:00-11:59,(Heavy Traffic=6, Mechanical Problem=3, Weather Conditions=1), PM : 12:00-19:00,(Heavy Traffic=1, Other=1)
31/12/15, AM : 5:00-11:59,(Heavy Traffic=547, Other=201, Won`t Start=80), PM : 12:00-19:00,(Heavy Traffic=44, Other=25, Mechanical Problem=12)
07/01/16, AM : 5:00-11:59,(Heavy Traffic=873, Other=251, Mechanical Problem=45), PM : 12:00-19:00,(Heavy Traffic=65, Other=39, Mechanical Problem=10)
14/01/16, AM : 5:00-11:59,(Heavy Traffic=519, Other=179, Mechanical Problem=65), PM : 12:00-19:00,(Heavy Traffic=71, Other=21, Late return from Field Trip=17)
21/01/16, AM : 5:00-11:59,(Weather Conditions=1028, Heavy Traffic=973, Other=268), PM : 12:00-19:00,(Heavy Traffic=111, Weather Conditions=39, Other=34)
28/01/16, AM : 5:00-11:59,(Heavy Traffic=836, Other=220, Mechanical Problem=52), PM : 12:00-19:00,(Heavy Traffic=67, Other=38, Late return from Field Trip=10)
04/02/16, AM : 5:00-11:59,(Heavy Traffic=579, Weather Conditions=406, Other=157), PM : 12:00-19:00,(Heavy Traffic=54, Other=24, Late return from Field Trip=22)
11/02/16, AM : 5:00-11:59,(Heavy Traffic=273, Other=89, Mechanical Problem=26), PM : 12:00-19:00,(Heavy Traffic=42, Late return from Field Trip=20, Other=7)
18/02/16, AM : 5:00-11:59,(Heavy Traffic=467, Other=144, Mechanical Problem=46), PM : 12:00-19:00,(Heavy Traffic=59, Other=17, Late return from Field Trip=10)
25/02/16, AM : 5:00-11:59,(Heavy Traffic=652, Other=202, Problem Run=52), PM : 12:00-19:00,(Heavy Traffic=74, Other=39, Late return from Field Trip=22)
03/03/16, AM : 5:00-11:59,(Heavy Traffic=573, Other=226, Mechanical Problem=38), PM : 12:00-19:00,(Heavy Traffic=45, Other=39, Late return from Field Trip=17)
10/03/16, AM : 5:00-11:59,(Heavy Traffic=795, Other=212, Mechanical Problem=25), PM : 12:00-19:00,(Heavy Traffic=117, Other=41, Late return from Field Trip=19)
17/03/16, AM : 5:00-11:59,(Heavy Traffic=656, Other=246, Mechanical Problem=32), PM : 12:00-19:00,(Heavy Traffic=66, Late return from Field Trip=30, Other=23)
24/03/16, AM : 5:00-11:59,(Heavy Traffic=455, Other=179, Weather Conditions=47), PM : 12:00-19:00,(Heavy Traffic=55, Other=27, Mechanical Problem=10)
31/03/16, AM : 5:00-11:59,(Heavy Traffic=752, Other=216, Mechanical Problem=43), PM : 12:00-19:00,(Heavy Traffic=73, Late return from Field Trip=39, Other=24)
07/04/16, AM : 5:00-11:59,(Heavy Traffic=797, Other=185, Mechanical Problem=43), PM : 12:00-19:00,(Heavy Traffic=104, Late return from Field Trip=63, Other=26)
14/04/16, AM : 5:00-11:59,(Heavy Traffic=629, Other=242, Mechanical Problem=39), PM : 12:00-19:00,(Heavy Traffic=129, Late return from Field Trip=75, Other=45)
21/04/16, AM : 5:00-11:59,(Heavy Traffic=218, Other=78, Won`t Start=18), PM : 12:00-19:00,(Heavy Traffic=76, Late return from Field Trip=58, Mechanical Problem=12)
28/04/16, AM : 5:00-11:59,(Heavy Traffic=575, Other=118, Weather Conditions=96), PM : 12:00-19:00,(Heavy Traffic=72, Late return from Field Trip=33, Other=20)
05/05/16, AM : 5:00-11:59,(Heavy Traffic=698, Other=168, Weather Conditions=74), PM : 12:00-19:00,(Heavy Traffic=154, Late return from Field Trip=62, Other=34)
12/05/16, AM : 5:00-11:59,(Heavy Traffic=608, Other=189, Mechanical Problem=36), PM : 12:00-19:00,(Heavy Traffic=230, Late return from Field Trip=137, Other=39)
19/05/16, AM : 5:00-11:59,(Heavy Traffic=796, Other=144, Weather Conditions=57), PM : 12:00-19:00,(Late return from Field Trip=127, Heavy Traffic=116, Other=42)
26/05/16, AM : 5:00-11:59,(Heavy Traffic=522, Other=125, Mechanical Problem=48), PM : 12:00-19:00,(Heavy Traffic=146, Late return from Field Trip=131, Other=33)
02/06/16, AM : 5:00-11:59,(Heavy Traffic=677, Other=179, Mechanical Problem=47), PM : 12:00-19:00,(Late return from Field Trip=152, Heavy Traffic=151, Other=54)
09/06/16, AM : 5:00-11:59,(Heavy Traffic=393, Other=88, Mechanical Problem=28), PM : 12:00-19:00,(Heavy Traffic=54, Late return from Field Trip=40, Other=13)
16/06/16, AM : 5:00-11:59,(Heavy Traffic=443, Other=89, Mechanical Problem=39), PM : 12:00-19:00,(Heavy Traffic=88, Other=29, Mechanical Problem=12)
23/06/16, AM : 5:00-11:59,(Heavy Traffic=174, Other=53, Mechanical Problem=21), PM : 12:00-19:00,(Heavy Traffic=57, Other=15, Accident=8)
30/06/16, AM : 5:00-11:59,(Heavy Traffic=105, Other=21, Weather Conditions=11), PM : 12:00-19:00,(Heavy Traffic=6, Other=3, Accident=2)
07/07/16, AM : 5:00-11:59,(Heavy Traffic=414, Other=96, Problem Run=20), PM : 12:00-19:00,(Heavy Traffic=60, Other=10, Mechanical Problem=4)
14/07/16, AM : 5:00-11:59,(Heavy Traffic=390, Other=87, Mechanical Problem=31), PM : 12:00-19:00,(Heavy Traffic=83, Other=19, Mechanical Problem=5)
21/07/16, AM : 5:00-11:59,(Heavy Traffic=363, Other=78, Mechanical Problem=37), PM : 12:00-19:00,(Heavy Traffic=49, Other=16, Late return from Field Trip=8)
28/07/16, AM : 5:00-11:59,(Heavy Traffic=318, Other=78, Weather Conditions=22), PM : 12:00-19:00,(Heavy Traffic=44, Other=25, Mechanical Problem=3)
04/08/16, AM : 5:00-11:59,(Heavy Traffic=243, Other=66, Mechanical Problem=23), PM : 12:00-19:00,(Heavy Traffic=57, Other=21, Weather Conditions=4)
11/08/16, AM : 5:00-11:59,(Heavy Traffic=100, Other=53, Mechanical Problem=12), PM : 12:00-19:00,(Heavy Traffic=32, Other=12, Mechanical Problem=4)
18/08/16, AM : 5:00-11:59,(Heavy Traffic=8, Other=2, Mechanical Problem=1), PM : 12:00-19:00,(Heavy Traffic=2, Accident=1)
25/08/16, AM : 5:00-11:59,(Heavy Traffic=7), PM : 12:00-19:00,(Flat Tire=1)
01/09/16, AM : 5:00-11:59,(Heavy Traffic=187, Other=30, Mechanical Problem=10), PM : 12:00-19:00,(Heavy Traffic=10, Mechanical Problem=4, Delayed by School=2)
08/09/16, AM : 5:00-11:59,(Heavy Traffic=1334, Other=165, Mechanical Problem=64), PM : 12:00-19:00,(Heavy Traffic=113, Other=25, Delayed by School=17)
15/09/16, AM : 5:00-11:59,(Heavy Traffic=1423, Other=199, Problem Run=86), PM : 12:00-19:00,(Heavy Traffic=110, Other=39, Delayed by School=12)
22/09/16, AM : 5:00-11:59,(Heavy Traffic=1448, Other=168, Problem Run=130), PM : 12:00-19:00,(Heavy Traffic=207, Other=47, Mechanical Problem=14)
29/09/16, AM : 5:00-11:59,(Heavy Traffic=682, Other=117, Problem Run=68), PM : 12:00-19:00,(Heavy Traffic=89, Other=19, Mechanical Problem=11)
06/10/16, AM : 5:00-11:59,(Heavy Traffic=733, Other=104, Problem Run=56), PM : 12:00-19:00,(Heavy Traffic=108, Other=35, Mechanical Problem=9)
13/10/16, AM : 5:00-11:59,(Heavy Traffic=1140, Other=164, Problem Run=89), PM : 12:00-19:00,(Heavy Traffic=93, Other=30, Late return from Field Trip=16)
20/10/16, AM : 5:00-11:59,(Heavy Traffic=1012, Other=152, Problem Run=65), PM : 12:00-19:00,(Heavy Traffic=96, Other=45, Late return from Field Trip=32)
27/10/16, AM : 5:00-11:59,(Heavy Traffic=1079, Other=218, Mechanical Problem=77), PM : 12:00-19:00,(Heavy Traffic=139, Other=65, Late return from Field Trip=44)
03/11/16, AM : 5:00-11:59,(Heavy Traffic=749, Other=164, Mechanical Problem=61), PM : 12:00-19:00,(Heavy Traffic=80, Other=45, Late return from Field Trip=22)
10/11/16, AM : 5:00-11:59,(Heavy Traffic=790, Other=145, Weather Conditions=78), PM : 12:00-19:00,(Heavy Traffic=68, Late return from Field Trip=20, Other=17)
17/11/16, AM : 5:00-11:59,(Heavy Traffic=809, Other=141, Mechanical Problem=61), PM : 12:00-19:00,(Heavy Traffic=129, Other=27, Late return from Field Trip=15)
24/11/16, AM : 5:00-11:59,(Heavy Traffic=658, Other=114, Mechanical Problem=33), PM : 12:00-19:00,(Heavy Traffic=62, Late return from Field Trip=48, Other=17)
01/12/16, AM : 5:00-11:59,(Heavy Traffic=1122, Other=173, Mechanical Problem=62), PM : 12:00-19:00,(Heavy Traffic=125, Other=33, Late return from Field Trip=26)
08/12/16, AM : 5:00-11:59,(Heavy Traffic=991, Other=130, Weather Conditions=103), PM : 12:00-19:00,(Heavy Traffic=149, Other=44, Late return from Field Trip=36)
15/12/16, AM : 5:00-11:59,(Heavy Traffic=1050, Other=153, Mechanical Problem=73), PM : 12:00-19:00,(Heavy Traffic=150, Late return from Field Trip=45, Other=35)
22/12/16, AM : 5:00-11:59,(Heavy Traffic=233, Other=63, Mechanical Problem=11), PM : 12:00-19:00,(Heavy Traffic=46, Other=11, Late return from Field Trip=7)
29/12/16, AM : 5:00-11:59,(Heavy Traffic=461, Other=97, Mechanical Problem=54), PM : 12:00-19:00,(Heavy Traffic=48, Other=20, Mechanical Problem=11)
05/01/17, AM : 5:00-11:59,(Heavy Traffic=1413, Other=237, Weather Conditions=80), PM : 12:00-19:00,(Heavy Traffic=91, Other=55, Mechanical Problem=26)
12/01/17, AM : 5:00-11:59,(Heavy Traffic=1080, Other=170, Mechanical Problem=45), PM : 12:00-19:00,(Heavy Traffic=114, Other=39, Mechanical Problem=15)
19/01/17, AM : 5:00-11:59,(Heavy Traffic=1089, Other=195, Mechanical Problem=68), PM : 12:00-19:00,(Heavy Traffic=121, Other=45, Late return from Field Trip=33)
26/01/17, AM : 5:00-11:59,(Heavy Traffic=1006, Other=181, Mechanical Problem=43), PM : 12:00-19:00,(Heavy Traffic=112, Mechanical Problem=27, Other=23)
02/02/17, AM : 5:00-11:59,(Heavy Traffic=1082, Other=193, Mechanical Problem=76), PM : 12:00-19:00,(Heavy Traffic=143, Other=40, Mechanical Problem=36)
09/02/17, AM : 5:00-11:59,(Heavy Traffic=849, Weather Conditions=392, Other=155), PM : 12:00-19:00,(Heavy Traffic=118, Other=38, Mechanical Problem=17)
16/02/17, AM : 5:00-11:59,(Heavy Traffic=293, Other=61, Mechanical Problem=31), PM : 12:00-19:00,(Heavy Traffic=78, Other=24, Late return from Field Trip=13)
23/02/17, AM : 5:00-11:59,(Heavy Traffic=528, Other=166, Mechanical Problem=50), PM : 12:00-19:00,(Heavy Traffic=90, Other=30, Mechanical Problem=28)
02/03/17, AM : 5:00-11:59,(Heavy Traffic=791, Other=159, Mechanical Problem=74), PM : 12:00-19:00,(Heavy Traffic=133, Other=30, Late return from Field Trip=23)
09/03/17, AM : 5:00-11:59,(Heavy Traffic=507, Weather Conditions=461, Other=96), PM : 12:00-19:00,(Heavy Traffic=68, Other=24, Mechanical Problem=11)
16/03/17, AM : 5:00-11:59,(Heavy Traffic=1212, Other=197, Mechanical Problem=76), PM : 12:00-19:00,(Heavy Traffic=251, Other=38, Late return from Field Trip=34)
23/03/17, AM : 5:00-11:59,(Heavy Traffic=1093, Other=144, Mechanical Problem=63), PM : 12:00-19:00,(Heavy Traffic=156, Late return from Field Trip=51, Other=33)
30/03/17, AM : 5:00-11:59,(Heavy Traffic=1408, Other=164, Mechanical Problem=87), PM : 12:00-19:00,(Heavy Traffic=205, Late return from Field Trip=68, Other=36)
06/04/17, AM : 5:00-11:59,(Heavy Traffic=457, Other=40, Mechanical Problem=20), PM : 12:00-19:00,(Heavy Traffic=100, Late return from Field Trip=37, Other=15)
13/04/17, AM : 5:00-11:59,(Heavy Traffic=304, Other=42, Mechanical Problem=26), PM : 12:00-19:00,(Heavy Traffic=59, Other=6, Delayed by School=4)
20/04/17, AM : 5:00-11:59,(Heavy Traffic=1234, Other=176, Weather Conditions=71), PM : 12:00-19:00,(Heavy Traffic=218, Late return from Field Trip=41, Other=30)
27/04/17, AM : 5:00-11:59,(Heavy Traffic=1125, Other=139, Mechanical Problem=63), PM : 12:00-19:00,(Heavy Traffic=226, Late return from Field Trip=94, Other=35)
04/05/17, AM : 5:00-11:59,(Heavy Traffic=1077, Other=158, Mechanical Problem=55), PM : 12:00-19:00,(Heavy Traffic=235, Late return from Field Trip=88, Mechanical Problem=38)
11/05/17, AM : 5:00-11:59,(Heavy Traffic=1254, Other=184, Mechanical Problem=59), PM : 12:00-19:00,(Heavy Traffic=360, Late return from Field Trip=140, Other=39)
18/05/17, AM : 5:00-11:59,(Heavy Traffic=1295, Other=160, Mechanical Problem=76), PM : 12:00-19:00,(Heavy Traffic=461, Late return from Field Trip=188, Mechanical Problem=45)
25/05/17, AM : 5:00-11:59,(Heavy Traffic=839, Other=109, Weather Conditions=59), PM : 12:00-19:00,(Heavy Traffic=251, Late return from Field Trip=138, Other=21)
01/06/17, AM : 5:00-11:59,(Heavy Traffic=930, Other=109, Mechanical Problem=52), PM : 12:00-19:00,(Heavy Traffic=291, Late return from Field Trip=147, Other=38)
08/06/17, AM : 5:00-11:59,(Heavy Traffic=734, Other=117, Mechanical Problem=54), PM : 12:00-19:00,(Heavy Traffic=261, Late return from Field Trip=38, Other=38)
15/06/17, AM : 5:00-11:59,(Heavy Traffic=781, Other=136, Mechanical Problem=35), PM : 12:00-19:00,(Heavy Traffic=315, Other=27, Mechanical Problem=19)
22/06/17, AM : 5:00-11:59,(Heavy Traffic=501, Other=73, Mechanical Problem=22), PM : 12:00-19:00,(Heavy Traffic=139, Other=18, Mechanical Problem=15)
29/06/17, AM : 5:00-11:59,(Heavy Traffic=117, Other=58, Flat Tire=5), PM : 12:00-19:00,(Heavy Traffic=10, Other=3, Mechanical Problem=2)
06/07/17, AM : 5:00-11:59,(Heavy Traffic=272, Other=128, Mechanical Problem=24), PM : 12:00-19:00,(Heavy Traffic=77, Other=9, Accident=3)
13/07/17, AM : 5:00-11:59,(Heavy Traffic=253, Other=134, Mechanical Problem=23), PM : 12:00-19:00,(Heavy Traffic=41, Other=21, Late return from Field Trip=9)
20/07/17, AM : 5:00-11:59,(Heavy Traffic=343, Other=104, Weather Conditions=22), PM : 12:00-19:00,(Heavy Traffic=28, Other=25, Mechanical Problem=11)
